Feature,Importance
click,0.0434925218918662
Exclamation_Count,0.030702419413174004
removed,0.020358153887813105
Suspicious_Keyword_Count,0.01926994004025446
Contains_Money,0.016250083483609432
remove,0.015554453241635888
wrote,0.013883651417843196
receive,0.013845721248546994
free,0.013492574827824904
Special_Character_Count,0.013044310446494236
credit,0.009999182674429164
deathtospamdeathtospamdeathtospam,0.008234521439016672
reply,0.008136889170407717
spamassassin sightings,0.008092658999559167
email,0.008057314369370195
visit,0.008006712589186215
url date,0.007866904031734286
mailings,0.007631570238139933
url,0.00720118581274146
Character_Count,0.00718077361302612
date,0.007164366592191685
business,0.00675642106191125
information,0.006741125692805311
sightings,0.005872007399782145
contact,0.00576863442303428
remove subject,0.005756168692223847
address,0.005737587745869423
sightings mailing,0.005720904280708006
URL_Count,0.005653326941636958
Word_Count,0.005321548052792253
offer,0.005186423953299319
email address,0.005184139061981601
removal,0.005137745219521333
deathtospamdeathtospamdeathtospam sf,0.0050647207217072955
money,0.004845793048977658
future,0.004744093277051583
form,0.004729754175773771
subject line,0.004489102409286051
removed mailing,0.004338223969139093
wish,0.004174029621516511
guaranteed,0.004079908824700913
Has_Links,0.003787272584374315
Average_Word_Length,0.0036601168808147342
order,0.0032400737439378336
click link,0.0032389314795416594
offers,0.0031614275443379203
marketing,0.0030662495950420938
opt,0.0030477257710460944
unsubscribe,0.0029155426023332056
Email_Count,0.0029138883247264453
hours,0.002864703036765474
purchase,0.002855587923449801
dollars,0.002697023113609877
mortgage,0.0026761268847091996
low,0.0026534060495093594
rates,0.0026131426280586196
obligation,0.002609428615125513
said,0.002553989451614594
Question_Count,0.0025423415862569575
days,0.0023637858368636055
company,0.0022998253525609046
home,0.0022784620672066705
users,0.002138189311623221
dear,0.0021103462960379606
wish receive,0.0021078457716160724
Digit_Count,0.0020928711509386783
ve,0.002069444152602402
site,0.0020411732105613976
clicking,0.0020320887681653053
list click,0.002001539390173014
cost,0.0019631200232543976
best,0.0019544888453628434
list reply,0.0019254610001187287
increase,0.0018968481742502464
today,0.0018376314716131714
reply message,0.0018090140286260963
thank,0.0018012245418925882
instructions,0.0017770026089011554
send,0.0017495564677931313
simply,0.0017303613855635443
subscription,0.0017024318021761293
insurance,0.0016880482314824323
removed future,0.0016865138499236113
sincerely,0.001673140397890054
br font,0.001671189112072229
use,0.0016502147149888963
website,0.0016419933177839214
just click,0.0016401880373801575
sep,0.0016379093371789244
web site,0.001614585171535996
size,0.001601076711084139
group,0.0015874094461117024
investment,0.0015642767079534258
list,0.001542573847280483
removed list,0.0015303738721342995
toll,0.0014929326333335087
cash,0.001482677341920094
lowest,0.0014651598401785146
special,0.0014418731472892919
month,0.0014184345595020956
city state,0.0014063302482728384
click unsubscribe,0.0013966803208140307
professional,0.0013942690707090552
opportunity,0.0013836052780921435
payment,0.0013799311776564087
weight loss,0.001375222654628891
really,0.0013612251953511725
refinance,0.0013590008132180363
lose,0.0013581732142430995
communication,0.0013579443842838613
click removed,0.001344640543672404
future mailings,0.0013277609864420648
net email,0.0013098439752893245
enter,0.0012817252628533173
quote,0.0012717981179491578
sales,0.001269602741837274
toll free,0.001243219443471394
br br,0.0012332818767569007
weight,0.0012243038649018493
professionals,0.0012205224241237068
state,0.001200837517965357
phone,0.001166136578722448
loss,0.0011521211645681758
adult,0.0011520995508445175
font,0.001123055135490109
don,0.001119331154129814
improvement,0.0011049998878949337
phone number,0.0011038091739428992
life,0.0010943107980823151
digital,0.0010750363475916435
easy,0.0010709013013493886
think,0.0010641851014101325
income,0.0010459096353684601
copyright,0.0010432049840138804
actually,0.0010062483907902165
like,0.0009999618518525656
receive mailings,0.0009953496236976356
doesn,0.0009918120521768584
receiving email,0.0009694906364475641
font size,0.000961131129775771
run,0.0009607081299289964
does wish,0.000956654344681134
products,0.000955634513522768
receiving,0.0009447138315033247
quality,0.0009386354423400676
prices,0.0009365916513552551
sexual,0.0009357050126295893
href,0.0009327591246666454
risk,0.0009309934851747024
credit cards,0.0009278454276084877
subject,0.0009237435353115707
internet,0.0009128614982925804
receive free,0.0009109278948369208
mailing list,0.0009088699589111965
come,0.0008994541725350813
email sponsored,0.0008986174806851166
linux,0.0008965184924344942
heaven spamassassin,0.0008894614656307178
tel,0.0008800678617556047
financial,0.000879215431953478
medical,0.0008758097706892944
monthly,0.0008669405266987996
available,0.000860416677052917
received email,0.0008587409584144646
br,0.0008538423043966063
stuff,0.0008537123600588792
send blank,0.0008531830670982488
online,0.000852119148087799
rights reserved,0.0008489179119003925
confidential,0.0008456268539956617
program,0.0008443473063229786
service,0.0008340230370364346
free quote,0.0008300351337156538
color,0.0008283708434151517
mailing,0.0008278305421766112
hundreds,0.0008252699879250239
media,0.0008248647562242563
IP_Address_Count,0.0008220906723841686
privacy,0.0008213442532784037
fax,0.0008200394448183884
net,0.0008150168385822475
message,0.0008107646263711119
link,0.0008056076889161014
family,0.0007888991719047689
sir,0.000781695285360559
com,0.000780761101717068
life insurance,0.0007785814969592099
click free,0.0007763879161811721
hot,0.0007716228854941017
approved,0.0007693187493598684
emails,0.0007674951762945859
flash,0.0007642220542822917
just,0.0007469060350039795
simply click,0.0007456255144296875
sure,0.0007409138350853986
sponsored,0.0007370626926096344
se,0.0007347479335360593
transaction,0.0007337350540236098
mail,0.0007335419375620851
rights,0.0007329527481219038
font font,0.0007312072633304851
reply email,0.000728240207555967
spamassassin,0.0007180112607365974
help,0.0007160602032416681
subscriber,0.0007141782607034224
time,0.0007125308842481338
groups,0.0007122419671218881
muscle,0.0007101404155433102
thinkgeek,0.0007094060965001445
request,0.0006985749463196773
geek,0.0006909277952633799
sponsored thinkgeek,0.0006894576377447196
better,0.0006869748379481
list mailing,0.0006841397610591574
professional communication,0.0006807841266212807
email use,0.0006777040858074714
html head,0.000675618428925785
networks,0.0006755533426351729
text,0.0006743309544087041
cards,0.0006737365747640881
click enter,0.0006666761312389185
word remove,0.0006641529917510909
want,0.0006606448444331572
hi,0.0006542536519510728
sf net,0.0006532815423888457
loans,0.0006481389868441357
save,0.0006476616118368992
version,0.000647500970241434
account,0.0006470419118361352
px,0.0006468385709607461
body html,0.0006449659563850613
spam,0.0006448298779938379
lose weight,0.0006443138949712532
original message,0.0006401056560660878
say,0.0006372096323189578
aging,0.0006359411253692617
pm,0.0006319460517820112
user,0.0006298216670306253
mailings does,0.0006293505792760877
isn,0.0006256238641247318
Contains_Urgency,0.0006253908909091385
does,0.0006249464993853413
tr,0.0006201199893790113
come true,0.0006189492304012499
unsubscribe group,0.0006168448421555135
forever,0.0006152136372417163
manage,0.0006143813753541788
rpm list,0.0006137905624062338
new,0.0006120304103223052
html,0.0006110649996345629
price,0.0006100622616607159
font face,0.000607511781287801
welcome,0.0006071831620772403
far,0.0005947098716599154
microsoft,0.0005933057303447516
august,0.0005881529278310009
talk,0.0005867974202420818
things,0.0005807679240168209
yahoo groups,0.0005773150583066323
trying,0.0005770425013273578
didn,0.000576320710917725
problem,0.0005757519508532094
sleep,0.0005741482091083756
rpm,0.0005712962639598726
required,0.0005712168989982313
million,0.0005685061117289159
sponsor,0.0005671731810240663
blank,0.0005638508989429647
running,0.0005625460331870402
si,0.00056245766812892
remove related,0.0005568849699506749
videos,0.0005536682751633485
file,0.0005526289121720797
submitted,0.0005492538985612781
instead legal,0.0005478423170500116
unsubscribed,0.0005474812450726289
promotion,0.0005449331214881253
groups subject,0.0005437903765821501
people,0.0005407527434322212
heaven,0.0005372036621836986
bir,0.0005353016788137862
latest,0.0005332871166858045
pay,0.0005332577030333943
pretty,0.0005329993653618202
spamassassin talk,0.0005304667578316697
oh,0.0005256876743852362
ready,0.0005235591956055614
gb,0.0005217983297071135
change,0.0005197577230014216
compliance,0.0005186990829796136
comments,0.000515291037878252
protect,0.0005111684610591967
message sent,0.0005098704435651932
web,0.0005094018779330137
osdn,0.0005083044790567874
info,0.0005068926820521459
lenders,0.0005064391829596821
original,0.0005058794085221443
support,0.0005048818682986426
size font,0.0005044762672439625
checks,0.0005028194134181475
loan,0.0004989636472370624
sf,0.0004985409626708955
line,0.0004959697155027976
set,0.0004957057852239953
fall,0.0004927580808916099
way,0.0004927022980469308
looking,0.0004925530435069607
work,0.0004901006150771131
know,0.0004887156230139639
use yahoo,0.00048753191964608544
obtained,0.0004874977346436392
orders,0.00048670280219727024
response,0.00048532280295380045
paid,0.0004851006666941758
exercise,0.00048479830132240164
popular,0.00048429514064995683
applications,0.0004835080913985823
got,0.00048296033364668005
make,0.0004821488430232878
supplied,0.0004805711869256539
subscriptions,0.0004793261100980477
man,0.0004769282634802685
consultation,0.0004756613057538019
hardware,0.00047538347118633237
subscribed,0.00047526161537905695
addresses,0.00047461694345110703
security,0.0004730678347977568
minutes,0.0004668582030417462
thinkgeek welcome,0.0004662813539951869
mail address,0.00046389877280246164
